,会社名,タイトル,掲載終了日
0,UTパベック株式会社 | 【東証一部上場グループ】入社祝い金10万円支給エリア多数！,未経験歓迎【ものづくりスタッフ】女性活躍中☆力仕事少なめ 正社員,掲載終了予定日： 2022/02/14
1,株式会社テクニケーション | 定着率97.5％／前職から平均150万円年収UP／残業月平均10.5h,【ITエンジニア】★リモートワーク90％超 ★単価還元率70～90％ 正社員,掲載終了予定日： 2022/02/14
2,株式会社ミュゼプラチナム | 人と話すことが好きな方大歓迎♪／未経験OK／WEB面接1回,【受付カウンセラー】全身美容脱毛0円 ★ 高卒以上 ★ 賞与年4回 正社員,掲載終了予定日： 2022/03/07
3,株式会社アイダ設計 | 1都2府21県へエリア拡大中／テレビ・ラジオCMでもお馴染みの企業,WEB集客多数★商談チャンスが多い【住宅営業】※男女活躍中 正社員,掲載終了予定日： 2022/02/07
4,株式会社こども総合研究所 | ＜教育×IT(AI・ビッグデータ)／年休125日／残業ほぼゼロ＞,【100%自社内開発エンジニア】★前職給与以上を確約します★ 正社員,掲載終了予定日： 2022/02/14
5,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★WEB説明会実施中（随時）★,【観光コンシェルジュ(ドライバー)】※有給消化率8割超/社宅あり 正社員,掲載終了予定日： 2022/03/21
6,株式会社オープンハウス | 東証一部上場オープンハウスグループの中核企業/20代管理職率76%,【営業総合職】未経験歓迎★「20代で年収1000万円」の実績多数！ 正社員,掲載終了予定日： 2022/02/07
7,株式会社アーネストワン | 東証一部上場グループ/2年目年収800万円超も可/スピード昇格多数,戸建住宅の【施工管理】初年度想定年収442万円/利益率前年比150% 正社員,掲載終了予定日： 2022/02/21
8,株式会社テクノプロ・コンストラクション | 業界売上No.1【東証一部上場テクノプログループ】,未経験歓迎【事務スタッフ(書類作成/写真撮影等)】★土日祝休み 正社員,掲載終了予定日： 2022/02/14
9,日研トータルソーシング株式会社 | ◆WEB面接1回のみで内定も可能◆年休最大160日◆残業ほぼなし,好きな街で働けるものづくり【サポートスタッフ】年休最大160日 正社員,掲載終了予定日： 2022/02/07
10,株式会社プレコヴィユニット | 過去最高利益を達成した「プレコグループ」の安定性◎,食品商社の【ルートセールス】★引越手当あり★未経験者歓迎 正社員,掲載終了予定日： 2022/02/21
11,株式会社テクノプロ・コンストラクション | 業界売上No.1【東証一部上場テクノプログループ】,【総合職(管理・資料作成等)】未経験歓迎★土日祝休／研修充実 正社員,掲載終了予定日： 2022/02/14
